id_station,Longitud,Latitud,O3
ACO,-98.912003,19.635501,35.26995344442001
AJM,-99.207658,19.2721,44.94199694653609
AJU,-99.162459,19.154674,40.65932097186465
ATI,-99.254133,19.576963,31.42941178768722
BJU,-99.158969,19.371612,34.42236702874667
CAM,-99.169794,19.468404,29.747516478977694
CCA,-99.1761,19.3262,34.729256520814246
CHO,-98.886088,19.266948,33.71187935710731
CUA,-99.29170500000001,19.365313,37.0129820915802
CUT,-99.19860200000001,19.722185999999997,28.764927908574737
FAC,-99.243524,19.482473000000002,32.71775651421817
GAM,-99.09451700000001,19.4827,33.47639350518995
HGM,-99.15220699999999,19.411617,31.186016990719644
INN,-99.38051999999999,19.291968,39.6914857737437
IZT,-99.117641,19.384413000000002,32.50223436111162
LLA,-99.039644,19.578792,31.4563024251731
LPR,-99.11771999999999,19.534727,32.182219374831924
MER,-99.11959399999999,19.42461,28.56123762906052
MGH,-99.202603,19.40405,31.953684534950042
MON,-98.90285300000001,19.460415,34.48127668970001
MPA,-98.990189,19.1769,48.65029170812355
NEZ,-99.028212,19.393734,31.713562597826986
PED,-99.204136,19.325146,36.393321657906746
SAG,-99.030324,19.532968,30.383985336898967
SFE,-99.262865,19.357357,36.666841984151084
TAH,-99.010564,19.246458999999998,39.48445890958193
TLA,-99.20459699999999,19.529076999999997,29.157437191909576
TLI,-99.177173,19.602542,30.398151913064698
UAX,-99.103629,19.304441,36.23815231839276
UIZ,-99.07388,19.360794,33.30493151750893
VIF,-99.09659,19.658223,32.664073238473605
XAL,-99.0824,19.525995,28.577090096659095
