id_station,Longitud,Latitud,PM10,PM2.5
AJM,-99.207658,19.2721,35.70908539536581,20.81691180359532
BJU,-99.158969,19.371612,43.75339296267017,25.383755888208665
CAM,-99.169794,19.468404,52.23882834184917,27.408131456412473
HGM,-99.15220699999999,19.411617,46.40497171579533,26.455030049610702
INN,-99.38051999999999,19.291968,23.317701599401506,15.205776034713823
MER,-99.11959399999999,19.42461,55.864517716404464,27.471718278908916
MGH,-99.202603,19.40405,38.12690502209684,23.653947960679933
MPA,-98.990189,19.1769,37.32714633454296,21.20404618139039
PED,-99.204136,19.325146,43.99390271523263,22.982038270706038
SAG,-99.030324,19.532968,50.784305903520156,23.96711217570184
SFE,-99.262865,19.357357,40.78392835704035,21.850781565972422
TLA,-99.20459699999999,19.529076999999997,57.254826328949164,27.343631820978384
UIZ,-99.07388,19.360794,50.58742035190059,26.20233906200146
XAL,-99.0824,19.525995,71.57387055621751,31.369847396938052
